"host_response_time","host_response_rate","host_is_superhost","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","count_summary","count_description","count_space","count_neighborhood","count_notes","count_transit","count_host","count_amenities","count_total"
"within a few hours",100,"f",2,2,"North Queen Anne","Queen Anne",47.64675745,-122.3527991,"House","Private room",4,1,1,2,"Real Bed",95,0,0,2,0,1,30,60,90,365,118,93,10,9,9,9,10,10,"f","moderate","f","f",1,4.29,0,183,183,0,59,0,26,12,451
"within an hour",100,"f",1,1,"North Queen Anne","Queen Anne",47.64169151,-122.359255,"House","Private room",2,1,1,1,"Real Bed",100,100,25,1,0,2,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,34,151,29,42,41,18,0,10,315
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.64977536,-122.3579828,"Apartment","Private room",2,1,1,1,"Real Bed",46,0,0,1,0,1,12,40,70,345,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,24,24,0,0,0,0,6,2,54
"within a few hours",96,"f",3,3,"North Queen Anne","Queen Anne",47.64235821,-122.3740468,"House","Private room",2,1,1,1,"Real Bed",50,0,10,1,10,1,28,58,88,363,1,80,8,10,10,10,10,8,"f","flexible","f","f",2,0.65,8,178,179,0,0,23,75,14,463
"within a day",100,"f",1,1,"North Queen Anne","Queen Anne",47.64262214,-122.3643547,"House","Entire home/apt",6,2.5,3,2,"Real Bed",445,0,125,1,0,3,29,59,89,178,6,100,10,10,10,10,10,10,"f","strict","f","f",1,0.88,47,175,173,69,20,23,16,16,523
"within a day",75,"f",1,1,"North Queen Anne","Queen Anne",47.64689454,-122.3614399,"House","Private room",2,1,1,1,"Real Bed",75,0,0,1,0,1,30,60,90,365,7,97,10,9,10,10,9,10,"f","moderate","f","f",1,1.54,49,167,15,15,0,18,59,9,323
"within an hour",100,"f",1,1,"North Queen Anne","Queen Anne",47.65186066,-122.3649937,"House","Entire home/apt",4,1,2,2,"Real Bed",100,100,50,1,0,2,6,36,66,341,5,100,10,10,10,10,9,10,"f","moderate","f","f",1,1.61,41,170,105,147,0,39,19,14,521
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.64763894,-122.3552943,"House","Entire home/apt",2,1,1,1,"Real Bed",130,500,0,1,10,2,0,0,0,144,2,80,9,9,10,10,10,10,"f","moderate","f","f",1,0.37,43,43,0,0,0,0,0,8,86
"within a day",100,"f",1,1,"North Queen Anne","Queen Anne",47.64758832,-122.3588954,"House","Entire home/apt",5,3,3,3,"Real Bed",235,150,125,3,50,2,30,60,90,365,5,96,10,10,10,10,10,10,"f","moderate","f","f",1,0.29,32,138,0,20,49,13,10,11,262
"within a few hours",100,"f",1,1,"North Queen Anne","Queen Anne",47.64665844,-122.3568149,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",100,0,25,1,0,1,0,0,2,126,1,80,10,10,10,10,10,8,"f","flexible","f","f",1,0.86,47,132,0,49,0,18,0,15,246
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.65247214,-122.3690778,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",120,0,0,1,0,1,0,0,0,111,2,80,9,9,8,8,9,10,"t","flexible","f","f",1,0.44,42,195,41,90,20,43,33,12,464
"within an hour",100,"f",1,1,"North Queen Anne","Queen Anne",47.65349156,-122.3697413,"Apartment","Entire home/apt",4,1,0,2,"Real Bed",80,150,45,1,0,4,12,42,71,159,21,100,10,10,10,10,10,10,"f","moderate","f","f",1,2.23,48,169,120,54,28,63,29,16,511
"within a day",100,"f",1,1,"North Queen Anne","Queen Anne",47.64528801,-122.3726424,"House","Entire home/apt",9,3,4,5,"Real Bed",395,500,250,9,10,3,30,60,90,365,2,100,10,10,10,10,10,10,"f","strict","f","f",1,0.04,45,188,188,56,30,18,2,13,527
"within a few hours",100,"f",2,2,"North Queen Anne","Queen Anne",47.64353088,-122.3608339,"House","Private room",2,1,1,1,"Real Bed",88,0,35,1,0,1,10,40,70,345,21,94,10,10,9,9,10,9,"f","moderate","f","f",2,3.07,36,169,154,0,73,36,99,17,567
"within a day",100,"f",1,1,"North Queen Anne","Queen Anne",47.6409471,-122.3573748,"House","Entire home/apt",6,2,3,3,"Real Bed",425,500,150,1,0,2,13,13,13,260,38,96,10,10,10,10,10,9,"f","strict","f","f",1,1.24,0,162,162,0,12,19,143,12,498
"within an hour",100,"f",2,2,"North Queen Anne","Queen Anne",47.64141466,-122.365496,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",114,250,50,2,50,2,10,35,38,309,66,95,10,10,10,10,10,10,"f","strict","f","f",2,2.89,37,166,167,14,0,194,185,12,763
"within an hour",100,"f",1,1,"North Queen Anne","Queen Anne",47.64652744,-122.3543343,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",110,300,50,2,20,2,16,37,67,342,63,98,10,10,10,10,10,10,"f","flexible","f","f",1,3.18,33,175,185,41,35,56,82,22,607
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.65079525,-122.3723846,"House","Entire home/apt",5,2,2,4,"Real Bed",300,150,150,1,0,7,0,3,33,308,2,100,10,10,10,10,10,10,"f","strict","f","f",1,0.07,48,189,188,0,0,0,152,12,577
"within an hour",100,"f",2,2,"North Queen Anne","Queen Anne",47.6399253,-122.3674313,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",117,250,50,2,50,2,8,31,61,336,72,97,10,10,10,10,10,10,"f","strict","f","f",2,3.17,37,157,147,55,0,7,185,12,588
"within an hour",100,"f",1,1,"North Queen Anne","Queen Anne",47.64265654,-122.3581082,"House","Private room",2,1.5,1,1,"Real Bed",85,0,0,2,10,1,20,42,71,329,25,98,10,10,10,10,10,10,"t","flexible","f","f",1,7.5,37,170,115,47,6,101,109,19,585
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.64096458,-122.3682862,"House","Entire home/apt",8,1.5,3,5,"Real Bed",300,0,100,1,0,7,0,0,0,165,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,39,123,39,17,0,19,0,12,237
"within a few hours",100,"f",1,1,"North Queen Anne","Queen Anne",47.64519299,-122.3758195,"House","Private room",2,1,1,1,"Real Bed",53,200,20,1,0,1,25,55,85,360,27,96,10,9,10,10,9,9,"f","moderate","t","t",1,2.07,41,157,29,17,7,20,53,10,324
"within an hour",100,"f",1,1,"North Queen Anne","Queen Anne",47.65433968,-122.3708774,"House","Entire home/apt",4,1,2,3,"Real Bed",89,100,60,2,20,1,7,22,29,269,10,94,10,10,10,10,9,9,"f","strict","f","f",1,2.54,40,161,34,0,153,0,0,17,388
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.64939343,-122.3755835,"Bed & Breakfast","Private room",2,1,1,1,"Real Bed",209,0,0,1,0,2,0,0,0,2,1,100,10,10,10,10,10,10,"f","strict","f","f",1,0.04,0,169,169,0,0,0,34,12,372
"within a few hours",100,"f",2,2,"North Queen Anne","Queen Anne",47.64341119,-122.3627156,"House","Private room",2,1,1,1,"Real Bed",76,0,35,1,0,1,5,22,52,141,4,95,10,10,9,9,10,9,"f","flexible","f","f",2,1.13,53,176,170,0,73,36,99,10,607
"within a few hours",100,"f",1,1,"North Queen Anne","Queen Anne",47.643435,-122.3730079,"Apartment","Entire home/apt",4,1,2,2,"Real Bed",74,0,50,2,15,3,14,14,14,128,28,89,9,9,10,10,10,9,"t","flexible","f","f",1,2.34,44,173,112,0,0,0,0,14,329
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.64413086,-122.3562992,"House","Entire home/apt",6,3,3,2,"Real Bed",250,100,100,5,100,3,0,26,56,331,1,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0.04,0,130,130,0,0,0,4,11,264
"within a few hours",100,"f",1,1,"North Queen Anne","Queen Anne",47.64598072,-122.3512444,"House","Entire home/apt",4,1,2,2,"Real Bed",180,0,55,1,0,1,17,47,77,352,7,94,10,10,9,9,9,9,"f","flexible","f","f",1,1.3,42,180,97,71,39,113,88,16,630
"within a day",67,"f",1,1,"North Queen Anne","Queen Anne",47.6527602,-122.3687842,"Condominium","Entire home/apt",5,1,2,2,"Real Bed",179,0,0,1,0,1,0,0,0,63,6,97,10,10,10,10,9,10,"f","flexible","f","f",1,0.88,45,45,0,0,0,0,130,15,220
"within a few hours",96,"f",3,3,"North Queen Anne","Queen Anne",47.64328624,-122.3758186,"House","Entire home/apt",4,1,2,3,"Real Bed",115,0,20,2,5,2,19,49,79,354,17,95,10,9,10,10,9,9,"f","moderate","f","f",2,0.67,0,180,180,0,0,0,75,10,435
"within a few hours",89,"f",1,1,"North Queen Anne","Queen Anne",47.64152919,-122.3567093,"Apartment","Entire home/apt",5,1,2,2,"Real Bed",140,0,0,1,0,2,10,19,19,187,8,97,10,9,10,10,10,10,"f","moderate","f","f",1,1.24,42,183,45,98,91,24,0,14,483
"within a day",50,"f",2,2,"North Queen Anne","Queen Anne",47.6472569,-122.3593189,"Apartment","Entire home/apt",4,1.5,2,4,"Real Bed",150,500,150,4,100,5,3,33,63,337,2,100,10,10,9,9,10,10,"f","strict","f","f",1,0.41,47,47,0,0,0,0,0,0,94
"within a few hours",70,"f",1,1,"North Queen Anne","Queen Anne",47.64721551,-122.3566966,"Apartment","Entire home/apt",3,1,1,2,"Futon",70,0,0,1,0,1,3,29,59,334,20,92,9,9,10,10,9,9,"f","flexible","f","f",1,1.36,40,40,0,0,0,0,24,15,104
"within a few hours",100,"f",2,2,"North Queen Anne","Queen Anne",47.646883,-122.354231,"House","Entire home/apt",6,2,3,3,"Real Bed",300,0,0,1,0,3,0,26,56,331,6,83,10,9,10,10,10,10,"f","flexible","f","f",1,0.32,0,177,171,177,0,0,26,8,551
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.64719277,-122.3589062,"Apartment","Private room",1,1,1,1,"Real Bed",99,300,40,1,25,1,0,0,0,189,1,100,10,10,10,10,10,10,"f","moderate","f","f",1,0.14,37,173,65,109,35,20,23,8,462
"within an hour",100,"f",1,1,"North Queen Anne","Queen Anne",47.64478716,-122.3513144,"House","Entire home/apt",4,1,2,2,"Real Bed",89,0,35,1,0,1,10,10,10,113,12,100,10,10,10,10,10,10,"t","strict","f","f",1,2.86,57,155,3,24,14,45,0,13,298
"N/A",94.8888888888889,"f",1,1,"North Queen Anne","Queen Anne",47.64535059,-122.3751942,"Townhouse","Private room",1,1,1,1,"Real Bed",100,0,0,1,0,1,0,0,0,42,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,43,43,0,0,0,0,36,15,122
"within an hour",100,"f",1,1,"North Queen Anne","Queen Anne",47.64480022,-122.3739315,"Townhouse","Private room",2,1.5,1,1,"Real Bed",84,200,50,1,0,2,30,60,90,365,8,93,10,10,10,10,9,9,"f","moderate","f","f",1,1.18,22,22,0,0,0,0,0,13,44
"within a day",67,"f",1,1,"North Queen Anne","Queen Anne",47.64018626,-122.3663757,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",97,250,25,2,10,4,4,34,63,63,13,98,10,10,10,10,10,10,"f","moderate","f","f",1,1.93,49,197,54,30,57,61,31,12,479
"within a few hours",94,"f",34,34,"North Queen Anne","Queen Anne",47.64783678,-122.3561688,"House","Entire home/apt",8,2.5,3,4,"Real Bed",265,0,169,1,0,3,22,52,82,202,12,95,10,10,10,10,9,9,"f","strict","t","t",6,0.6,32,179,177,0,0,0,156,22,544
"within a day",60,"f",1,1,"North Queen Anne","Queen Anne",47.64402085,-122.3755716,"Apartment","Entire home/apt",6,1,2,2,"Real Bed",115,100,80,2,15,3,20,50,80,355,10,88,9,10,9,10,9,9,"f","strict","f","f",1,1.39,41,163,74,47,104,38,67,9,534
"within a few hours",100,"f",1,1,"North Queen Anne","Queen Anne",47.64266228,-122.371084,"House","Entire home/apt",4,1,2,2,"Real Bed",100,100,50,4,25,6,0,0,0,0,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,46,169,156,178,58,128,12,19,747
"within a few hours",100,"f",3,3,"Green Lake","Other neighborhoods",47.68826555,-122.3358555,"House","Private room",2,1.5,1,1,"Real Bed",60,0,0,1,15,1,0,1,31,306,42,86,9,8,10,10,9,9,"f","moderate","f","f",3,0.77,0,179,179,16,0,17,64,15,455
"within an hour",100,"f",1,1,"Green Lake","Other neighborhoods",47.68614501,-122.332185,"House","Entire home/apt",6,3,3,3,"Real Bed",249,200,100,1,0,3,11,11,11,286,37,93,9,10,9,10,9,9,"f","flexible","f","f",1,1.62,41,97,0,0,0,56,7,12,201
"within a day",100,"f",1,1,"Green Lake","Other neighborhoods",47.68532672,-122.3423891,"House","Entire home/apt",7,3,3,3,"Real Bed",250,300,150,1,0,2,0,0,0,155,2,100,10,10,9,10,10,10,"f","strict","t","t",1,0.07,40,155,149,0,0,0,70,19,414
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.67330354,-122.322513,"House","Entire home/apt",4,2,3,1,"Real Bed",100,250,300,1,0,26,0,0,0,153,1,91,10,10,10,8,10,8,"f","flexible","f","f",1,0.04,0,33,33,0,0,0,28,6,94
"within a few hours",90,"f",1,1,"Green Lake","Other neighborhoods",47.67803024,-122.326485,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",74,0,20,2,30,1,8,24,50,321,3,100,10,10,10,10,10,10,"f","moderate","f","f",1,1.55,41,166,44,74,0,25,0,22,350
"within a day",100,"f",2,2,"Green Lake","Other neighborhoods",47.68415691,-122.3259722,"House","Entire home/apt",4,1,2,2,"Real Bed",235,400,125,2,25,3,30,60,90,365,1,100,10,10,10,10,10,10,"f","strict","t","t",2,0.03,0,175,175,0,0,0,54,14,404
"within an hour",92,"f",4,4,"Green Lake","Other neighborhoods",47.67373141,-122.3345713,"Apartment","Entire home/apt",5,1,2,2,"Real Bed",99,200,75,1,0,3,30,60,86,361,4,95,10,9,10,10,9,10,"f","strict","f","f",1,0.23,75,75,0,0,0,0,81,14,231
"within an hour",100,"f",2,2,"Green Lake","Other neighborhoods",47.6897677,-122.3346466,"House","Private room",3,1,1,1,"Real Bed",96,0,20,2,10,1,0,0,2,277,56,92,9,9,9,10,10,10,"f","moderate","f","f",2,1.97,51,189,72,93,27,55,101,19,588
"within a day",100,"f",1,1,"Green Lake","Other neighborhoods",47.67335778,-122.3273253,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",85,0,0,1,0,2,21,39,55,55,6,97,9,10,10,10,10,9,"f","strict","f","f",1,2.14,22,167,67,48,11,18,112,16,445
"within a few hours",100,"f",2,2,"Green Lake","Other neighborhoods",47.67491184,-122.3252381,"House","Private room",4,1,1,2,"Real Bed",55,100,10,2,55,1,0,0,0,121,11,96,10,9,10,10,10,9,"f","moderate","f","f",2,1.51,39,181,23,42,153,33,106,14,577
"within an hour",100,"f",1,1,"Green Lake","Other neighborhoods",47.67431015,-122.3226601,"House","Private room",4,1,1,1,"Real Bed",55,150,35,2,35,2,23,53,83,228,5,92,8,8,8,8,10,9,"t","moderate","f","f",1,1.42,42,190,194,82,182,0,95,26,785
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.67708444,-122.3235236,"Apartment","Private room",2,1,1,1,"Real Bed",80,0,0,1,0,1,30,60,90,365,1,80,10,10,10,10,10,8,"f","flexible","f","f",1,0.36,38,38,0,0,0,0,0,8,76
"within a few hours",99,"f",354,354,"Green Lake","Other neighborhoods",47.67452613,-122.333473,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",195,0,0,1,0,2,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",8,0,30,186,184,150,0,0,0,15,550
"within an hour",100,"f",1,1,"Green Lake","Other neighborhoods",47.67650239,-122.3255528,"Apartment","Private room",2,1,1,1,"Real Bed",50,0,20,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"t","flexible","f","f",1,0,46,190,66,159,23,45,263,12,792
"within a few hours",99,"f",354,354,"Green Lake","Other neighborhoods",47.67535854,-122.3333845,"Apartment","Entire home/apt",4,1,2,3,"Real Bed",160,0,0,1,0,2,30,60,90,362,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",8,0,41,189,187,163,0,0,0,16,580
"within an hour",100,"f",1,1,"Green Lake","Other neighborhoods",47.67605812,-122.3232793,"House","Entire home/apt",5,1,2,3,"Real Bed",140,0,35,0,0,2,0,0,0,153,5,100,10,10,10,10,10,10,"f","strict","f","f",1,1.01,46,184,157,100,0,59,9,12,555
"within a day",100,"f",1,1,"Green Lake","Other neighborhoods",47.67633824,-122.3295859,"House","Private room",2,1,1,1,"Real Bed",140,500,35,1,0,2,30,60,90,365,14,97,10,10,10,10,10,10,"f","moderate","f","f",1,2.06,40,176,30,129,17,22,2,15,416
"within a few hours",100,"f",1,1,"Green Lake","Other neighborhoods",47.68770668,-122.3357777,"House","Entire home/apt",2,1,1,1,"Real Bed",145,500,80,1,0,2,29,55,85,269,2,100,10,10,10,10,10,10,"f","moderate","f","f",1,2,41,186,123,171,0,57,0,17,578
"within an hour",80,"f",1,1,"Green Lake","Other neighborhoods",47.69044857,-122.3421874,"House","Entire home/apt",4,1,2,2,"Real Bed",225,300,80,4,25,3,30,60,90,365,22,94,10,10,10,10,10,10,"f","strict","t","t",1,0.65,0,153,153,4,0,1,35,15,346
"within an hour",100,"f",1,1,"Green Lake","Other neighborhoods",47.67552251,-122.3242977,"Townhouse","Entire home/apt",4,1.5,2,3,"Real Bed",325,200,85,1,0,1,0,0,0,1,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,43,88,0,0,18,12,178,21,339
"within an hour",100,"f",2,2,"Green Lake","Other neighborhoods",47.67232267,-122.3219423,"House","Entire home/apt",5,2,2,3,"Real Bed",199,350,100,2,25,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,44,182,193,74,0,35,44,17,572
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.68532979,-122.3248518,"Apartment","Entire home/apt",7,1,3,1,"Real Bed",450,500,250,5,18,4,3,33,63,338,1,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0.12,42,163,156,0,0,0,54,11,415
"within a few hours",100,"f",1,1,"Green Lake","Other neighborhoods",47.68354474,-122.3309111,"House","Entire home/apt",12,3,6,6,"Real Bed",550,500,300,4,35,4,16,46,76,335,5,100,10,10,10,10,10,10,"f","strict","f","f",1,0.18,46,173,169,42,26,90,53,18,599
"within a day",80,"f",1,1,"Green Lake","Other neighborhoods",47.67468991,-122.3324155,"House","Entire home/apt",7,2,3,5,"Real Bed",149,500,100,1,0,20,24,24,24,25,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,30,170,88,107,0,49,0,21,444
"within an hour",100,"f",1,1,"Green Lake","Other neighborhoods",47.6858705,-122.327567,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",130,0,0,1,0,3,3,33,63,318,1,100,10,10,10,10,10,10,"f","strict","f","f",1,0.25,46,175,157,24,0,121,0,12,523
"within a few hours",78,"f",1,1,"Green Lake","Other neighborhoods",47.68009638,-122.3234211,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",85,0,30,2,0,1,0,4,34,309,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,49,105,23,0,0,0,16,26,193
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.67314449,-122.3259531,"House","Entire home/apt",4,1,3,3,"Real Bed",300,200,100,1,0,4,0,0,0,148,1,100,10,10,10,10,10,10,"f","strict","f","f",1,0.21,31,166,42,0,73,20,0,14,332
"within an hour",100,"f",1,1,"Green Lake","Other neighborhoods",47.67644022,-122.3274933,"House","Private room",2,1,1,1,"Real Bed",59,0,0,1,0,2,5,35,65,340,11,89,9,9,9,10,10,9,"t","moderate","f","f",1,2.77,44,150,6,24,29,30,56,7,339
"within a day",100,"f",2,2,"Green Lake","Other neighborhoods",47.68427308,-122.3266159,"House","Entire home/apt",2,1,1,1,"Real Bed",140,400,125,1,25,2,30,60,90,365,4,95,10,10,10,10,10,10,"f","moderate","t","t",2,0.09,32,169,174,21,0,36,54,14,486
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.67571999,-122.3321768,"House","Entire home/apt",8,2.5,3,5,"Real Bed",215,500,80,1,0,3,0,0,0,114,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,75,75,0,0,0,0,0,17,150
"within a few hours",100,"f",3,3,"Green Lake","Other neighborhoods",47.68724568,-122.3346957,"House","Private room",2,1.5,1,1,"Futon",40,0,0,1,7,1,8,11,41,316,30,96,10,9,10,10,10,10,"f","strict","f","f",3,0.46,0,172,172,50,0,37,64,15,495
"within a day",50,"f",2,2,"Green Lake","Other neighborhoods",47.67345534,-122.3372121,"House","Private room",4,1,1,2,"Real Bed",99,0,20,1,0,1,30,60,90,365,3,93,9,10,8,9,10,10,"f","flexible","f","f",2,0.63,47,183,31,16,22,39,0,9,338
"within a few hours",100,"f",3,3,"Green Lake","Other neighborhoods",47.68713059,-122.3345137,"House","Private room",2,1.5,1,1,"Real Bed",45,0,0,1,15,1,0,0,0,124,18,93,9,9,10,10,10,10,"f","moderate","f","f",3,0.72,0,178,178,0,0,0,64,12,420
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.6761145,-122.3324381,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",119,0,0,2,15,2,0,0,0,247,25,96,9,9,10,10,10,10,"f","moderate","f","f",1,3.39,45,162,23,39,0,28,132,14,429
"within a day",50,"f",2,2,"Green Lake","Other neighborhoods",47.67132207,-122.3368268,"House","Private room",2,1,1,2,"Real Bed",99,0,20,1,0,1,30,60,90,365,1,80,8,10,10,10,10,8,"f","flexible","f","f",2,0.22,49,81,112,0,0,0,0,7,242
"within a few hours",100,"f",2,2,"Green Lake","Other neighborhoods",47.67478054,-122.3246218,"House","Entire home/apt",6,1,3,3,"Real Bed",225,250,25,4,50,2,0,0,0,121,2,90,9,8,10,10,10,9,"f","moderate","f","f",2,0.45,39,184,116,44,196,55,106,15,740
"within a few hours",100,"f",1,1,"Green Lake","Other neighborhoods",47.67513918,-122.3332839,"Apartment","Entire home/apt",4,1,2,2,"Real Bed",135,200,80,1,0,4,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,34,34,0,0,0,0,9,15,77
"within an hour",100,"f",2,2,"Green Lake","Other neighborhoods",47.67572403,-122.3246928,"House","Entire home/apt",6,1.5,3,3,"Real Bed",335,1000,150,6,50,2,0,3,33,308,14,98,10,10,10,10,10,9,"f","strict","f","f",2,0.8,50,138,18,29,0,19,0,15,254
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.68110584,-122.3239465,"House","Private room",2,1,1,1,"Real Bed",79,300,20,2,15,1,0,0,0,0,4,100,10,10,10,10,9,10,"f","flexible","f","f",1,0.27,41,186,140,131,40,54,124,17,716
"within a few hours",100,"f",1,1,"Green Lake","Other neighborhoods",47.67673937,-122.3301907,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",90,0,25,1,0,2,26,47,77,352,33,96,10,10,10,10,10,10,"f","flexible","f","f",1,2.06,39,176,30,0,80,0,0,13,325
"within an hour",100,"f",1,1,"Green Lake","Other neighborhoods",47.68653224,-122.3377733,"House","Entire home/apt",2,1.5,1,1,"Real Bed",111,100,5,1,0,1,28,58,88,363,13,94,10,8,10,9,9,9,"f","flexible","f","f",1,1.74,42,42,0,0,0,0,0,15,84
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.68472182,-122.3388215,"House","Private room",4,1,1,2,"Real Bed",110,100,75,2,25,3,30,60,90,365,60,88,9,9,10,9,10,9,"f","strict","f","f",1,1.04,37,171,176,64,23,25,121,12,617
"N/A",94.8888888888889,"f",1,1,"Green Lake","Other neighborhoods",47.68890691,-122.3340131,"House","Entire home/apt",8,2,3,2,"Real Bed",325,200,119,6,75,4,0,0,27,27,6,93,10,10,10,10,10,10,"f","strict","f","f",1,0.9,33,176,175,75,24,35,77,19,595
"a few days or more",33,"f",2,2,"Westlake","Cascade",47.63347386,-122.3434448,"Apartment","Private room",2,1,1,1,"Real Bed",85,400,60,2,10,1,30,60,90,365,3,100,9,10,10,10,9,9,"f","strict","f","f",2,0.09,0,193,193,0,0,0,12,14,398
"N/A",94.8888888888889,"f",1,1,"Westlake","Cascade",47.62794326,-122.3412705,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",190,250,50,2,20,2,0,0,0,91,7,100,10,10,10,10,9,10,"f","moderate","f","f",1,0.4,45,47,0,0,0,0,0,14,92
"N/A",94.8888888888889,"f",1,1,"Westlake","Cascade",47.62866402,-122.3427092,"Apartment","Entire home/apt",1,1,1,1,"Couch",65,0,0,1,0,15,13,13,13,13,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,46,82,0,34,0,2,0,13,164
"within a few hours",67,"f",1,1,"Westlake","Cascade",47.63201049,-122.3427368,"Condominium","Entire home/apt",4,2,2,2,"Real Bed",250,0,0,1,0,3,10,37,37,37,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,47,98,23,0,0,21,0,17,189
"N/A",94.8888888888889,"f",1,1,"Westlake","Cascade",47.63296627,-122.3413052,"Apartment","Private room",1,1,1,1,"Real Bed",69,0,0,1,0,1,0,0,0,41,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,38,38,0,0,0,0,0,12,76
"a few days or more",33,"f",2,2,"Westlake","Cascade",47.63340284,-122.3426307,"Apartment","Entire home/apt",5,2,2,2,"Real Bed",400,600,75,3,30,3,30,60,90,365,8,76,8,7,8,9,9,8,"f","strict","f","f",2,0.26,15,167,117,22,0,10,12,12,343
